STATIONS_ID,MESS_DATUM,QN_4,TT_TER,RF_TER,eor
3379,1985010107,10,-5.2,80.0,eor
3379,1985010114,10,-1.4,81.0,eor
3379,1985010121,10,-1.5,86.0,eor
3379,1985010207,10,-1.7,95.0,eor
3379,1985010214,10,-2.9,92.0,eor
3379,1985010221,10,-5.6,95.0,eor
3379,1985010307,10,-8.2,85.0,eor
3379,1985010314,10,-6.0,73.0,eor
3379,1985010321,10,-6.5,92.0,eor
3379,1985010407,10,-6.0,92.0,eor
3379,1985010414,10,-9.2,87.0,eor
3379,1985010421,10,-11.4,84.0,eor
3379,1985010507,10,-13.0,85.0,eor
3379,1985010514,10,-10.8,88.0,eor
3379,1985010521,10,-11.0,84.0,eor
3379,1985010607,10,-11.9,83.0,eor
3379,1985010614,10,-9.9,67.0,eor
3379,1985010621,10,-16.3,82.0,eor
3379,1985010707,10,-20.1,83.0,eor
3379,1985010714,10,-15.8,83.0,eor
3379,1985010721,10,-19.4,89.0,eor
3379,1985010807,10,-20.1,88.0,eor
3379,1985010814,10,-17.4,85.0,eor
3379,1985010821,10,-18.1,80.0,eor
3379,1985010907,10,-17.8,85.0,eor
3379,1985010914,10,-12.1,62.0,eor
3379,1985010921,10,-16.2,82.0,eor
3379,1985011007,10,-17.6,85.0,eor
3379,1985011014,10,-7.2,68.0,eor
3379,1985011021,10,-9.6,86.0,eor
3379,1985011107,10,-9.2,92.0,eor
3379,1985011114,10,-6.8,71.0,eor
3379,1985011121,10,-10.8,93.0,eor
3379,1985011207,10,-13.8,95.0,eor
3379,1985011214,10,-7.2,72.0,eor
3379,1985011221,10,-7.4,84.0,eor
3379,1985011307,10,-10.8,88.0,eor
3379,1985011314,10,-11.2,84.0,eor
3379,1985011321,10,-12.3,86.0,eor
3379,1985011407,10,-12.0,83.0,eor
3379,1985011414,10,-10.9,82.0,eor
3379,1985011421,10,-11.0,87.0,eor
3379,1985011507,10,-11.4,78.0,eor
3379,1985011514,10,-8.5,77.0,eor
3379,1985011521,10,-10.0,88.0,eor
3379,1985011607,10,-9.4,94.0,eor
3379,1985011614,10,-7.6,93.0,eor
3379,1985011621,10,-8.7,92.0,eor
3379,1985011707,10,-9.3,89.0,eor
3379,1985011714,10,-5.0,79.0,eor
3379,1985011721,10,-6.1,86.0,eor
3379,1985011807,10,-9.5,86.0,eor
3379,1985011814,10,-2.2,76.0,eor
3379,1985011821,10,-7.3,89.0,eor
3379,1985011907,10,-5.2,87.0,eor
3379,1985011914,10,-0.9,92.0,eor
3379,1985011921,10,-0.2,95.0,eor
3379,1985012007,10,-0.7,94.0,eor
3379,1985012014,10,0.6,87.0,eor
3379,1985012021,10,0.0,91.0,eor
3379,1985012107,10,-0.5,93.0,eor
3379,1985012114,10,6.5,64.0,eor
3379,1985012121,10,2.1,87.0,eor
3379,1985012207,10,2.8,91.0,eor
3379,1985012214,10,5.9,69.0,eor
3379,1985012221,10,3.7,94.0,eor
3379,1985012307,10,3.6,94.0,eor
3379,1985012314,10,4.9,93.0,eor
3379,1985012321,10,4.0,97.0,eor
3379,1985012407,10,-0.2,93.0,eor
3379,1985012414,10,-1.1,87.0,eor
3379,1985012421,10,-2.9,82.0,eor
3379,1985012507,10,-4.2,74.0,eor
3379,1985012514,10,0.6,65.0,eor
3379,1985012521,10,-0.2,79.0,eor
3379,1985012607,10,1.4,76.0,eor
3379,1985012614,10,6.2,61.0,eor
3379,1985012621,10,2.5,89.0,eor
3379,1985012707,10,3.0,88.0,eor
3379,1985012714,10,-0.2,77.0,eor
3379,1985012721,10,-1.9,59.0,eor
3379,1985012807,10,-5.4,80.0,eor
3379,1985012814,10,-1.2,67.0,eor
3379,1985012821,10,-2.3,87.0,eor
3379,1985012907,10,1.1,88.0,eor
3379,1985012914,10,6.9,56.0,eor
3379,1985012921,10,-0.2,89.0,eor
3379,1985013007,10,2.2,67.0,eor
3379,1985013014,10,5.6,93.0,eor
3379,1985013021,10,3.6,94.0,eor
3379,1985013107,10,2.2,95.0,eor
3379,1985013114,10,8.4,61.0,eor
3379,1985013121,10,5.4,90.0,eor
3379,1985020107,10,5.1,94.0,eor
3379,1985020114,10,8.3,66.0,eor
3379,1985020121,10,7.8,81.0,eor
3379,1985020207,10,7.3,87.0,eor
3379,1985020214,10,5.5,96.0,eor
3379,1985020221,10,6.4,89.0,eor
3379,1985020307,10,5.5,68.0,eor
3379,1985020314,10,3.8,65.0,eor
3379,1985020321,10,-0.6,87.0,eor
3379,1985020407,10,-2.6,65.0,eor
3379,1985020414,10,4.4,32.0,eor
3379,1985020421,10,0.2,63.0,eor
3379,1985020507,10,-3.2,84.0,eor
3379,1985020514,10,8.8,40.0,eor
3379,1985020521,10,2.5,80.0,eor
3379,1985020607,10,6.4,74.0,eor
3379,1985020614,10,6.2,91.0,eor
3379,1985020621,10,6.2,91.0,eor
3379,1985020707,10,2.6,89.0,eor
3379,1985020714,10,0.3,85.0,eor
3379,1985020721,10,-0.4,74.0,eor
3379,1985020807,10,-3.4,77.0,eor
3379,1985020814,10,-2.0,74.0,eor
3379,1985020821,10,-0.4,94.0,eor
3379,1985020907,10,3.8,96.0,eor
3379,1985020914,10,5.9,93.0,eor
3379,1985020921,10,6.0,87.0,eor
3379,1985021007,10,-7.4,84.0,eor
3379,1985021014,10,-7.8,83.0,eor
3379,1985021021,10,-8.7,87.0,eor
3379,1985021107,10,-13.3,85.0,eor
3379,1985021114,10,-9.2,68.0,eor
3379,1985021121,10,-11.8,75.0,eor
3379,1985021207,10,-14.2,88.0,eor
3379,1985021214,10,-8.9,62.0,eor
3379,1985021221,10,-11.6,72.0,eor
3379,1985021307,10,-14.0,77.0,eor
3379,1985021314,10,-6.2,59.0,eor
3379,1985021321,10,-7.2,70.0,eor
3379,1985021407,10,-4.0,92.0,eor
3379,1985021414,10,1.7,90.0,eor
3379,1985021421,10,-0.8,87.0,eor
3379,1985021507,10,-6.4,81.0,eor
3379,1985021514,10,-7.0,64.0,eor
3379,1985021521,10,-10.2,80.0,eor
3379,1985021607,10,-15.2,91.0,eor
