STATIONS_ID,MESS_DATUM,QN_4,DK_TER,FK_TER,eor
3088,1890010107,5,24,2,eor
3088,1890010114,5,0,0,eor
3088,1890010121,5,0,0,eor
3088,1890010207,5,0,0,eor
3088,1890010214,5,8,1,eor
3088,1890010221,5,20,3,eor
3088,1890010307,5,16,2,eor
3088,1890010314,5,16,3,eor
3088,1890010321,5,20,2,eor
3088,1890010407,5,12,3,eor
3088,1890010414,5,16,3,eor
3088,1890010421,5,16,4,eor
3088,1890010507,5,20,3,eor
3088,1890010514,5,20,4,eor
3088,1890010521,5,24,5,eor
3088,1890010607,5,20,6,eor
3088,1890010614,5,20,3,eor
3088,1890010621,5,0,0,eor
3088,1890010707,5,20,2,eor
3088,1890010714,5,20,2,eor
3088,1890010721,5,20,2,eor
3088,1890010807,5,20,2,eor
3088,1890010814,5,20,2,eor
3088,1890010821,5,0,0,eor
3088,1890010907,5,20,5,eor
3088,1890010914,5,20,6,eor
3088,1890010921,5,20,5,eor
3088,1890011007,5,20,7,eor
3088,1890011014,5,24,8,eor
3088,1890011021,5,28,3,eor
3088,1890011107,5,28,3,eor
3088,1890011114,5,28,3,eor
3088,1890011121,5,28,2,eor
3088,1890011207,5,20,4,eor
3088,1890011214,5,20,4,eor
3088,1890011221,5,24,6,eor
3088,1890011307,5,20,4,eor
3088,1890011314,5,20,4,eor
3088,1890011321,5,24,5,eor
3088,1890011407,5,24,6,eor
3088,1890011414,5,24,6,eor
3088,1890011421,5,24,7,eor
3088,1890011507,5,24,7,eor
3088,1890011514,5,24,6,eor
3088,1890011521,5,28,4,eor
3088,1890011607,5,20,3,eor
3088,1890011614,5,20,2,eor
3088,1890011621,5,20,2,eor
3088,1890011707,5,16,2,eor
3088,1890011714,5,20,3,eor
3088,1890011721,5,16,3,eor
3088,1890011807,5,16,3,eor
3088,1890011814,5,12,4,eor
3088,1890011821,5,12,3,eor
3088,1890011907,5,24,5,eor
3088,1890011914,5,24,6,eor
3088,1890011921,5,24,4,eor
3088,1890012007,5,20,4,eor
3088,1890012014,5,20,3,eor
3088,1890012021,5,28,3,eor
3088,1890012107,5,20,4,eor
3088,1890012114,5,24,5,eor
3088,1890012121,5,24,3,eor
3088,1890012207,5,12,4,eor
3088,1890012214,5,20,6,eor
3088,1890012221,5,24,7,eor
3088,1890012307,5,16,4,eor
3088,1890012314,5,12,5,eor
3088,1890012321,5,12,2,eor
3088,1890012407,5,24,4,eor
3088,1890012414,5,28,4,eor
3088,1890012421,5,28,3,eor
3088,1890012507,5,20,5,eor
3088,1890012514,5,20,4,eor
3088,1890012521,5,24,7,eor
3088,1890012607,5,24,7,eor
3088,1890012614,5,24,6,eor
3088,1890012621,5,24,7,eor
3088,1890012707,5,24,6,eor
3088,1890012714,5,24,7,eor
3088,1890012721,5,24,7,eor
3088,1890012807,5,24,3,eor
3088,1890012814,5,24,3,eor
3088,1890012821,5,24,4,eor
3088,1890012907,5,28,3,eor
3088,1890012914,5,32,4,eor
3088,1890012921,5,28,2,eor
3088,1890013007,5,24,4,eor
3088,1890013014,5,24,3,eor
3088,1890013021,5,0,0,eor
3088,1890013107,5,24,3,eor
3088,1890013114,5,20,2,eor
3088,1890013121,5,20,2,eor
3088,1890020107,5,20,2,eor
3088,1890020114,5,20,3,eor
3088,1890020121,5,24,3,eor
3088,1890020207,5,16,3,eor
3088,1890020214,5,24,2,eor
3088,1890020221,5,24,2,eor
3088,1890020307,5,24,3,eor
3088,1890020314,5,24,3,eor
3088,1890020321,5,20,3,eor
3088,1890020407,5,24,2,eor
3088,1890020414,5,24,3,eor
3088,1890020421,5,20,2,eor
3088,1890020507,5,20,3,eor
3088,1890020514,5,20,3,eor
3088,1890020521,5,24,3,eor
3088,1890020607,5,28,4,eor
3088,1890020614,5,28,4,eor
3088,1890020621,5,8,4,eor
3088,1890020707,5,8,2,eor
3088,1890020714,5,24,2,eor
3088,1890020721,5,24,3,eor
3088,1890020807,5,24,3,eor
3088,1890020814,5,4,3,eor
3088,1890020821,5,8,2,eor
3088,1890020907,5,4,3,eor
3088,1890020914,5,8,3,eor
3088,1890020921,5,0,0,eor
3088,1890021007,5,8,1,eor
3088,1890021014,5,32,1,eor
